Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Glyoxylic acid,Glyoxylic acid,HMDB0000119,760,16891,C00048,3213,OC(=O)C=O,1
Pyruvic acid,Pyruvic acid,HMDB0000243,1060,32816,C00022,117,CC(=O)C(=O)O,1
Lactic acid,L-Lactic acid,HMDB0000190,107689,422,C00186,5205,C[C@H](O)C(O)=O,1
Caproic acid,Caproic acid,HMDB0000535,8892,30776,C01585,5520,CCCCCC(=O)O,1
Glycolic acid,Glycolic acid,HMDB0000115,757,17497,C03547,3219,OCC(O)=O,1
Alanine,L-Alanine,HMDB0000161,5950,16977,C00041,NA,C[C@H](N)C(O)=O,1
Hydroxylamine,Hydroxylamine,HMDB0003338,787,15429,C00192,6894,NO,1
Glycine,Glycine,HMDB0000123,750,15428,C00037,20,NCC(O)=O,1
Oxalic acid,Oxalic acid,HMDB0002329,971,16995,C00209,113,OC(=O)C(O)=O,1
3-Hydroxypropionic acid,Hydroxypropionic acid,HMDB0000700,68152,33404,C01013,5668,OCCC(O)=O,1
2-Aminoisobutyric acid,2-Aminoisobutyric acid,HMDB0001906,6119,27971,C03665,37,CC(C)(N)C(=O)O,1
3-Hydroxybutyric acid,3-Hydroxybutyric acid,HMDB0000357,441,20067,C01089,125,CC(O)CC(O)=O,1
2-Aminobutyric acid,L-Alpha-aminobutyric acid,HMDB0000452,80283,35619,C02356,12,CC[C@@H](C(=O)O)N,1
3-Aminopropanoic acid,beta-Alanine,HMDB0000056,239,16958,C00099,5119,NCCC(O)=O,1
3-Aminoisobutyric acid,3-Aminoisobutanoic acid,HMDB0003911,64956,27389,C05145,5472,CC(CN)C(=O)O,1
Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@H](N)C(O)=O,1
Urea,Urea,HMDB0000294,1176,16199,C00086,6,NC(N)=O,1
Serine,Serine,HMDB0062263,5951,17822,C00716,5203,N[C@@H](CO)C(O)=O,1
Benzoic acid,Benzoic acid,HMDB0001870,243,30746,C00539,1297,OC(=O)C1=CC=CC=C1,1
2-Aminoethanol,Ethanolamine,HMDB0000149,700,16000,C00189,3207,NCCO,1
Octanoic acid,octanoate radical,HMDB0062511,379,28837,C06423,5469,CCCCCCCC(O)=O,1
Leucine,L-Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@H](N)C(O)=O,1
Phosphoric acid,Phosphoric acid,HMDB0002142,57424078,26078,C00009,NA,OP(O)(O)=O,1
Isoleucine,L-Isoleucine,HMDB0000172,6306,17191,C00407,5193,CC[C@H](C)[C@@H](C(=O)O)N,1
Proline,L-Proline,HMDB0000162,145742,17203,C00148,29,OC(=O)[C@@H]1CCCN1,1
Maleic acid,Maleic acid,HMDB0000176,444266,18300,C01384,4198,OC(=O)\C=C/C(O)=O,1
Nicotinic acid,Nicotinic acid,HMDB0001488,938,15940,C00253,6272,OC(=O)C1=CN=CC=C1,1
Succinic acid,Succinic acid,HMDB0000254,1110,15741,C00042,114,O=C(O)CCC(=O)O,1
Glyceric acid,Glyceric acid,HMDB0000139,439194,32398,C00258,280,OC[C@@H](O)C(O)=O,1
Uracil,Uracil,HMDB0000300,1174,17568,C00106,258,O=C1NC=CC(=O)N1,1
Fumaric acid,Fumaric acid,HMDB0000134,444972,18012,C00122,3242,OC(=O)\C=C\C(O)=O,1
Nonanoic acid,Pelargonic acid,HMDB0000847,8158,29019,C01601,5810,CCCCCCCCC(=O)O,1
Threonine,L-Threonine,HMDB0000167,6288,16857,C00188,32,C[C@@H](O)[C@H](N)C(O)=O,1
Thymine,Thymine,HMDB0000262,1135,17821,C00178,290,CC1=CNC(=O)NC1=O,1
Glutaric acid,Glutaric acid,HMDB0000661,743,17859,C00489,3254,OC(=O)CCCC(O)=O,1
Hydroquinone,Hydroquinone,HMDB0002434,785,17594,C00530,6681,OC1=CC=C(O)C=C1,1
Glutaconic acid,Glutaconic acid,HMDB0000620,5280498,15670,C02214,5593,O=C(O)/C=C/CC(=O)O,1
Decanoic acid,Capric acid,HMDB0000511,2969,30813,C01571,336,CCCCCCCCCC(=O)O,1
Citramalic acid,Citramalic acid,HMDB0000426,441696,15584,C00815,5415,CC(CC(=O)O)(C(=O)O)O,1
Malic acid,Malic acid,HMDB0000744,525,6650,C03668,118,OC(CC(O)=O)C(O)=O,1
Niacinamide,Niacinamide,HMDB0001406,936,17154,C00153,1497,NC(=O)C1=CC=CN=C1,1
